EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-36,-1,4,-4,-6,1,-1,-19,A
1,-3,-10,-3,-4,-12,7,15,A
-18,-4,0,2,7,13,-18,-30,A
-2,4,2,-5,-10,-12,29,12,A
10,2,-3,1,2,8,2,5,A
5,3,-3,-3,-1,-12,3,10,A
1,-4,6,-1,-6,0,-22,-3,A
-11,6,-1,0,5,22,-8,-8,A
-6,-8,-8,-11,-16,-31,6,1,A
-2,-5,-10,-1,-5,-13,-22,5,A
6,6,4,4,4,18,26,0,A
-8,-3,4,-1,1,-5,22,-9,A
10,2,3,8,13,16,18,14,A
0,-1,0,-3,-12,-28,-52,-11,A
-26,-4,3,4,6,10,36,-4,A
7,3,5,-2,-3,2,-12,-3,A
23,-4,-11,-2,-2,4,-7,1,A
-4,-1,2,1,4,6,59,-5,A
-5,-8,-5,-4,-4,0,-57,-6,A
18,4,3,2,-1,-6,-25,5,A
2,0,8,-4,5,9,1,9,A
-27,-8,-5,-5,-9,-11,-15,-9,A
-3,-10,-13,-2,0,-8,27,9,A
-3,5,5,-3,0,-2,23,7,A
-1,-8,-1,-2,-4,-5,-40,-26,A
28,4,0,3,2,-12,-18,-3,A
3,0,-1,1,4,1,-15,14,A
3,-14,-12,-10,-8,-2,0,5,A
-6,11,14,6,-1,-5,11,-11,A
12,-2,-14,-2,6,29,10,-3,A
-16,-4,10,2,-2,-18,19,8,A
-2,-3,-6,-5,-5,-9,-20,4,A
-4,12,3,2,1,-1,0,-12,A
0,-16,-7,-6,-7,-1,-39,-21,A
-25,9,3,6,1,-1,0,-21,A
29,-3,-3,-5,-4,-2,10,20,A
-18,-4,-5,-8,-8,-3,-16,5,A
10,-2,6,3,1,0,40,26,A
-5,1,-7,4,5,5,-38,0,A
-28,8,9,7,5,1,17,-19,A
17,-11,-13,0,4,6,-32,3,A
-8,7,10,3,1,-2,31,3,A
33,-7,-12,-10,-8,-12,-30,-8,A
-10,-2,-2,2,4,3,-7,-21,A
10,15,8,5,10,4,20,11,A
-4,-17,-12,-5,-5,6,5,-1,A
-6,4,6,3,2,6,43,3,A
-4,-3,-3,-5,2,-4,-44,-10,A
-15,-4,-12,-4,-9,1,-18,-10,A
2,-1,8,-1,3,-6,3,1,A
16,5,-2,-2,-10,-17,-5,-1,A
-15,-7,0,3,1,7,-6,1,A
-28,1,3,2,0,2,33,-15,A
13,-3,-1,-2,-1,-2,-56,13,A
4,1,-5,-3,-1,3,7,8,A
-10,-3,4,2,-3,-1,48,6,A
8,5,-3,-5,2,0,-17,2,A
-18,-2,7,-1,-9,-11,-8,-10,A
13,-3,-3,0,3,7,-24,0,A
3,0,-3,-2,-4,-1,-22,-10,A
-4,-2,8,3,2,-1,27,10,A
-5,7,-8,0,0,4,-1,1,A
-3,-5,3,2,1,0,-4,2,A
-7,1,-5,-4,-3,0,12,0,A
1,-7,-4,-4,-3,-5,-30,-2,A
-4,7,13,2,2,3,18,-2,A
27,-7,-12,-9,-8,-13,25,-10,A
24,-3,-4,4,2,-5,-16,9,A
-22,-9,-4,-3,-5,-4,-13,-10,A
21,1,-5,1,2,1,-4,19,A
-16,5,1,2,4,24,29,-7,A
1,5,5,-4,-6,-23,-16,-4,A
14,-8,-10,-2,-1,-2,2,16,A
-25,-1,-8,0,4,7,29,-23,A
-8,-1,2,-8,-10,-12,-47,-9,A
3,4,1,3,8,9,39,13,A
14,0,-1,-5,-9,0,12,1,A
-18,3,7,-2,-6,-10,-19,-22,A
14,18,18,6,8,7,-12,1,A
-19,-23,-23,2,1,5,-8,-5,A
4,1,-1,-1,-2,-8,9,4,A
-10,-1,-2,-2,2,-3,-4,2,A
0,-1,0,-1,2,-7,-41,-14,A
